Month,East_North_Central_NSA,East_North_Central_SA,East_South_Central_NSA,East_South_Central_SA,Middle_Atlantic_NSA,Middle_Atlantic_SA,Mountain_NSA,Mountain_SA,New_England_NSA,New_England_SA,Pacific_NSA,Pacific_SA,South_Atlantic_NSA,South_Atlantic_SA,West_North_Central_NSA,West_North_Central_SA,West_South_Central_NSA,West_South_Central_SA,USA_NSA,USA_SA
2000-10-01 00:00:00,155.99,154.68,147.27,146.5,126.09,125.05,171.5,171.07,140.42,139.13,131.15,130.84,140.16,139.21,159.24,158.17,144.89,144.03,144.21,143.28
2000-11-01 00:00:00,155.8,155.18,147.64,147.05,127.1,126.3,172.17,172.08,140.21,139.65,132.34,132.4,140.41,139.99,159.03,158.22,145.61,145.07,144.66,144.16
2000-12-01 00:00:00,156.19,156.15,146.72,146.49,127.53,127.29,172.25,172.72,141.41,141.59,133.31,133.58,141.62,141.3,159,159.12,145.05,144.83,145.09,145.01
2001-01-01 00:00:00,156.3,156.72,147.98,147.48,127.9,127.71,173.6,174.49,142.17,143.01,134.14,134.77,142.37,142.14,160.04,160.51,145.21,145.61,145.72,145.93
2001-02-01 00:00:00,157.36,157.5,148.28,148.14,128.34,129.07,174.81,175.58,143.43,144.95,135.79,136.33,142.79,142.47,160.5,161.2,146.91,147,146.67,146.95
2001-03-01 00:00:00,158.47,157.94,148.61,148.35,129.6,129.86,175.99,175.93,145.39,146.18,137.69,137.54,144.46,144.04,162.23,161.77,147.27,146.81,147.98,147.72
2001-04-01 00:00:00,159.71,158.71,149.23,148.64,130.55,130.58,176.97,176.44,147.43,147.28,138.91,138.51,145.65,144.85,164.29,163.51,148.99,147.83,149.27,148.59
2001-05-01 00:00:00,161.06,159.19,150.49,149.62,132.29,131.46,178.71,177.86,150.22,149.42,140.45,139.31,146.32,145.21,165.58,163.84,148.99,147.68,150.49,149.23
2001-06-01 00:00:00,161.86,159.65,150.86,149.36,135.02,132.82,179.6,178.28,152.68,150.36,141.39,140.06,147.61,146.1,166.79,164.58,149.88,148.44,151.75,149.96
2001-07-01 00:00:00,162.52,160.2,150.85,149.64,135.89,133.72,179.62,178.48,154.53,151.84,142.13,140.89,148.94,147.42,167.97,165.6,150.67,149.08,152.61,150.8
2001-08-01 00:00:00,162.82,160.72,151.26,150.1,137.4,135.28,180.3,179.1,156.13,154.03,143.06,141.9,149.44,148.15,167.92,165.82,150.32,148.75,153.18,151.52
2001-09-01 00:00:00,163.16,161.41,151.61,150.52,138,136.2,179.86,179.03,156.76,154.68,144.14,143.25,149.84,148.56,168.56,166.9,150.99,149.91,153.71,152.31
2001-10-01 00:00:00,163.85,162.45,152.63,151.66,138.19,137.03,180.45,180,157.21,155.69,144.44,144.02,150.93,149.86,169.17,168.01,151.12,150.18,154.29,153.25
2001-11-01 00:00:00,163.29,162.65,152.07,151.51,139.38,138.4,181.36,181.23,157.27,156.71,144.66,144.71,150.67,150.18,168.67,167.84,150.77,150.26,154.27,153.72
2001-12-01 00:00:00,163.22,163.2,152.05,151.81,139.14,138.87,181.15,181.65,158.56,158.87,146.11,146.4,151.75,151.41,169.37,169.51,151.16,150.9,154.79,154.71
2002-01-01 00:00:00,163.52,164.04,152.91,152.44,140.48,140.27,181.7,182.65,159.38,160.42,147.01,147.85,152.3,152.15,169.27,169.84,150.22,150.71,155.26,155.55
2002-02-01 00:00:00,164,164.27,151.93,151.81,140.82,141.47,182.79,183.69,160.68,162.42,148.43,149.03,153.99,153.71,169.37,170.16,151.66,151.84,156.15,156.49
2002-03-01 00:00:00,165.6,165.13,153.57,153.4,142.54,142.88,184.11,184.15,161.89,162.67,150.83,150.81,154.63,154.23,171.75,171.31,152.99,152.49,157.7,157.48
2002-04-01 00:00:00,166.41,165.34,153.58,152.98,144.16,144.23,185.33,184.8,165.89,165.58,152.65,152.29,156.13,155.31,172.8,172,153.89,152.66,159.03,158.32
2002-05-01 00:00:00,168,166,154.42,153.54,146.75,145.86,186.15,185.29,168.09,167.03,155.74,154.51,157.51,156.27,174.51,172.64,154.61,153.2,160.75,159.38
2002-06-01 00:00:00,169.24,166.87,155.38,153.77,149.09,146.76,187.27,185.81,172.02,169.47,157.98,156.51,158.8,157.16,176.13,173.77,155.14,153.57,162.32,160.39
